,종목코드,회사명,시장구분,자본총계,당기순이익(손실),ROE,전기 ROE,전전기 ROE
743,[158310],스타모빌리티,코스닥시장상장법인,1989894565,5494107625,276.1004387687244,92.06591739996375,864.9210471521491
95,[035420],NAVER,유가증권시장상장법인,22433192062457,15314521708800,68.26724287012891,10.236020133228521,6.1012542006283565
940,[086520],에코프로,코스닥시장상장법인,38138545185,11077574675,29.04561414512697,9.20353380763764,8.359099574949392
934,[089970],에이피티씨,코스닥시장상장법인,102666452454,22928062734,22.332575233641176,26.066435097176015,23.794542551997463
799,[096530],씨젠,코스닥시장상장법인,770926321386,164246141188,21.305037411709097,77.83764461509898,17.477319612281857
1677,[298020],효성티앤씨,유가증권시장상장법인,886973342150,180114269858,20.306615914905375,23.522847660359073,20.931831080204397
213,[011780],금호석유화학,유가증권시장상장법인,3547048344536,475569304419,13.40746610210667,18.511878716937414,11.207024692618482
1429,[124560],태웅로직스,코스닥시장상장법인,68157688429,8802763235,12.915290171804838,13.41109069560639,23.168633914800395
278,[270870],뉴트리,코스닥시장상장법인,78192894012,8703339812,11.130601983684512,27.066485898208715,16.199084409348462
283,[064260],다날,코스닥시장상장법인,263205405016,27006796564,10.260730231720842,5.311132562089747,11.410361388085368
699,[234100],세원,코스닥시장상장법인,74562526333,7519978687,10.085466596739757,18.920997073257155,7.479138076590922
848,[067160],아프리카TV,코스닥시장상장법인,156509159129,15422775181,9.854231705563022,24.57339404387627,28.048860724952903
20,[000210],DL,유가증권시장상장법인,3377051768113,324615753331,9.612400863857234,17.832432266270118,10.543841106080173
984,[058630],엠게임,코스닥시장상장법인,51340043872,4874344607,9.494235375319548,14.943636903995458,19.387307499957345
3,[265520],AP시스템,코스닥시장상장법인,150165139747,13990103356,9.316478764359486,18.05956720932033,8.281834421360063
188,[215000],골프존,코스닥시장상장법인,231669104694,21336487108,9.209897511445165,16.623330231827925,8.105206110270235
945,[036810],에프에스티,코스닥시장상장법인,195507906094,18004003859,9.208836726195457,13.958626794459178,16.15394062080591
531,[206640],바디텍메드,코스닥시장상장법인,134163630805,12272303845,9.147265746584608,38.3121212718767,15.429217111315499
181,[049720],고려신용정보,코스닥시장상장법인,27762608693,2537179906,9.138838262845663,35.26192094940105,29.36359232544485
528,[950190],미투젠,코스닥시장상장법인,736411400,67219704,9.128009696753745,32.99021966811381,79.90340820543969
1516,[319660],피에스케이,코스닥시장상장법인,235325785762,21472907607,9.124757636512015,10.239927861110152,7.995454707410025
775,[108320],실리콘웍스,코스닥시장상장법인,561279408911,50819813863,9.054280819173666,13.625966936673384,8.161364597195782
366,[033500],동성화인텍,코스닥시장상장법인,115609229668,9786105690,8.46481350849165,19.384260411778534,17.78547109987474
1384,[021240],코웨이,유가증권시장상장법인,1530766101928,125758987920,8.215428063216617,27.161640580710266,30.840051825845038
1100,[036200],유니셈,코스닥시장상장법인,157573543440,12658783769,8.033571812021949,13.957658918729985,17.177423495982584
1397,[284740],쿠쿠홈시스,유가증권시장상장법인,569053308469,45156542522,7.935380016239721,16.151992844039995,17.44785779677402
262,[285490],노바텍,코스닥시장상장법인,102733521646,8110438203,7.894636602595026,32.15207220737673,16.463085629011626
131,[036490],SK머티리얼즈,코스닥시장상장법인,510809849059,40300310570,7.8894936431316145,30.12678847574744,27.54180685220468
1195,[064290],인텍플러스,코스닥시장상장법인,32047783639,2525428843,7.880198117434626,30.07449827796529,24.891824880411928
1580,[042700],한미반도체,유가증권시장상장법인,264233869355,20363486958,7.706614980020414,19.499544719703714,8.767462947092271
850,[053800],안랩,코스닥시장상장법인,226935167859,17425998232,7.67884431329179,8.503176004930106,9.307178132234114
34,[083450],GST,코스닥시장상장법인,120059137539,9207709629,7.669311822275058,13.61999710579091,17.392598995779153
865,[052790],액토즈소프트,코스닥시장상장법인,164379049977,12597057746,7.663420458849584,10.305770016017371,17.589728362871305
482,[093520],매커스,코스닥시장상장법인,59595656973,4561585676,7.654225001775952,14.377947968602067,9.161300165907459
286,[023590],다우기술,유가증권시장상장법인,3506937881430,268338808831,7.651655601084709,20.937114495626883,14.85855260142934
119,[016250],SGC이테크건설,코스닥시장상장법인,144076304455,10808384128,7.501847141960691,131.26628609875667,6.071444332385525
1113,[032620],유비케어,코스닥시장상장법인,115530927359,8666847203,7.5017550721017745,6.256805035538528,6.927949580932627
1080,[101160],월덱스,코스닥시장상장법인,117680701162,8744710959,7.43087938179598,20.030394427295306,21.69597803932381
287,[032190],다우데이타,코스닥시장상장법인,3712604068584,274653480171,7.397866163405725,19.829700970255246,14.722917076194037
1413,[214150],클래시스,코스닥시장상장법인,129463983703,9562254068,7.3860341652521075,30.83854694177555,37.98366530854214
478,[220630],맘스터치,코스닥시장상장법인,79948109915,5891355649,7.368974270015424,29.93074029367441,15.954368395649615
670,[035890],서희건설,코스닥시장상장법인,571859832914,41202146767,7.204938062715143,23.613870418989837,15.672128052391221
797,[225330],씨엠에스에듀,코스닥시장상장법인,43274074571,3051241354,7.050968470726768,14.556436038482238,15.855167979800772
668,[065710],서호전기,코스닥시장상장법인,73392949882,5035877714,6.861527874402927,9.20870956706452,20.42275172040907
65,[001390],KG케미칼,유가증권시장상장법인,1589982638531,107598014806,6.767244635162233,10.258426871855558,16.22858008688624
1086,[069080],웹젠,코스닥시장상장법인,466250362217,31388799451,6.732176957836051,19.843325197011342,11.858732600932832
1590,[014680],한솔케미칼,유가증권시장상장법인,649208559078,43613508869,6.7179503811440044,20.904206149132545,17.487381900242024
111,[036120],SCI평가정보,코스닥시장상장법인,25624893649,1708499234,6.667341755257093,22.481148122646196,20.973378750873025
862,[161000],애경유화,유가증권시장상장법인,407900523561,27133754429,6.652051875815316,11.33062478220226,8.436976487265332
170,[009450],경동나비엔,유가증권시장상장법인,369310616454,24382640357,6.602204017613725,11.959117958379386,9.251875833286691
1680,[081660],휠라홀딩스,유가증권시장상장법인,2041015537289,134200693278,6.5751921446053005,10.646409231281,18.775923660307388
1308,[096240],청담러닝,코스닥시장상장법인,105669958040,6932785848,6.560791710900163,8.358596180795447,12.793295089324403
225,[039860],나노엔텍,코스닥시장상장법인,48535143120,3172942880,6.537413255700317,6.016049323754786,14.015474569270491
1588,[009180],한솔로지스틱스,유가증권시장상장법인,57649946117,3717908289,6.449109738029142,15.898826206064031,12.557067804572327
892,[306040],에스제이그룹,코스닥시장상장법인,86739608304,5561648522,6.411890289506328,18.95859122868351,18.912223124144006
261,[194700],노바렉스,코스닥시장상장법인,121279496322,7675685578,6.328922703983589,21.553533726827272,15.789332623661526
410,[263720],디앤씨미디어,코스닥시장상장법인,55540473794,3511402610,6.322241007564711,20.88725838592706,11.686676609125394
1179,[041830],인바디,코스닥시장상장법인,158758262561,9994525478,6.295436418094953,11.688838382078803,14.593411836960929
520,[207760],미스터블루,코스닥시장상장법인,56126782443,3507701482,6.24960371737374,22.94636554016972,28.062467452365304
1380,[003070],코오롱글로벌,유가증권시장상장법인,509754716508,31692199483,6.217146885879305,16.55189851370561,7.382009410172752
54,[035900],JYP Ent.,코스닥시장상장법인,193870553823,12029036934,6.204674560832108,15.91238777066765,19.23027311567575
416,[039840],디오,코스닥시장상장법인,162655898943,10032006899,6.1676256220597,7.044290968503959,17.822016510228423
522,[268280],미원에스씨,유가증권시장상장법인,269740305316,16628667975,6.164695318899251,13.277330773888401,15.86991699079464
1245,[137950],제이씨케미칼,코스닥시장상장법인,101626288734,6188620413,6.0895861593433755,7.532659450891098,12.862513317115134
242,[042420],네오위즈홀딩스,코스닥시장상장법인,680233642339,41164474759,6.051519977379382,14.871191663626066,7.438833952323288
1694,[010240],흥국,코스닥시장상장법인,77287393510,4648163816,6.014129348790352,15.877476612060661,10.376413299581476
1393,[200130],콜마비앤에이치,코스닥시장상장법인,338805195982,20324541983,5.998887332318185,24.447210640061677,21.50950082127086
608,[028050],삼성엔지니어링,유가증권시장상장법인,1698272010719,101503707689,5.976881621338517,15.940437599200436,25.00102648816914
525,[059090],미코,코스닥시장상장법인,250320463463,14928778445,5.96386657266102,11.345798473784521,13.019705209339213
13,[023460],CNH,코스닥시장상장법인,141311764411,8375266115,5.926800326858031,21.873001986403843,13.66918621598045
418,[210540],디와이파워,유가증권시장상장법인,200587264904,11673688685,5.819755651280736,13.440637520886991,11.42397364399633
1349,[089010],켐트로닉스,코스닥시장상장법인,122546751227,7120195908,5.81018740742533,15.223295921311541,16.6964507172608
1612,[130660],한전산업,유가증권시장상장법인,81177604807,4701879903,5.792089966412207,16.1964587688414,19.742516947595263
19,[000990],DB하이텍,유가증권시장상장법인,828473158214,47810548964,5.770923111989372,20.89464222484592,16.231582081221596
1366,[183300],코미코,코스닥시장상장법인,179565698039,10311969140,5.74272773286596,13.754577154198156,18.68202249397732
643,[091580],상신이디피,코스닥시장상장법인,79749524867,4555870659,5.712724516663797,11.932678849456813,7.752775839943507
100,[030190],NICE평가정보,코스닥시장상장법인,257781200283,14709180455,5.706071831014759,18.228651176395918,18.191283062979245
1545,[034950],한국기업평가,코스닥시장상장법인,102364106859,5791246432,5.657497153740686,21.52482282625307,19.896214484847224
774,[243840],신흥에스이씨,코스닥시장상장법인,141810738414,7964278116,5.616131898805303,14.113559811708127,15.787396161339643
282,[119860],다나와,코스닥시장상장법인,136642571837,7655411893,5.602508639936966,22.618055491448104,21.504222655201232
557,[003850],보령제약,유가증권시장상장법인,355038797247,19875736899,5.598187311673568,7.893254143572262,11.387660036530981
635,[009470],삼화전기,유가증권시장상장법인,72368652697,3980523790,5.5003425401133805,8.532956918468603,5.8216881375222895
716,[068270],셀트리온,유가증권시장상장법인,3626456289215,197228894234,5.438612201684447,15.027760259307327,10.250205999182292
581,[086670],비엠티,코스닥시장상장법인,76061215243,4125998438,5.42457601396228,5.474624796328077,7.652510832972789
592,[143240],사람인에이치알,코스닥시장상장법인,125270285587,6785539306,5.416718956298263,17.28820168062307,22.884155022621343
1543,[039340],한국경제TV,코스닥시장상장법인,143461647223,7627885615,5.317020794514539,13.768828795030865,12.317125542999923
80,[003550],LG,유가증권시장상장법인,19942655000000,1057393000000,5.3021676401662665,7.385247988019916,5.818588812871822
83,[051900],LG생활건강,유가증권시장상장법인,4933078323507,258820468071,5.246632043883719,16.767752644305816,18.601765045347523
1396,[192400],쿠쿠홀딩스,유가증권시장상장법인,781016031749,40969161665,5.24562364913996,14.024056952942576,11.790833186749946
521,[002840],미원상사,유가증권시장상장법인,281272345890,14604594869,5.19233230084822,19.377184437386937,13.859915716649022
388,[005290],동진쎄미켐,코스닥시장상장법인,470035124998,24380250718,5.186899748844033,19.46490702861264,16.287277362610016
308,[047040],대우건설,유가증권시장상장법인,2863155531322,147861347529,5.16427926850094,10.55674778550325,8.087598160285387
570,[126340],비나텍,코스닥시장상장법인,46067570841,2366597646,5.137231251389828,10.6329957700623,23.38674445595762
1146,[272290],이녹스첨단소재,코스닥시장상장법인,217346873199,11106357812,5.109968985765515,12.458301638245667,19.120501723087585
1233,[040420],정상제이엘에스,코스닥시장상장법인,61624715312,3148483193,5.1091241185610885,10.470919615747503,11.995609530170501
527,[201490],미투온,코스닥시장상장법인,167295649274,8546310840,5.108507529686376,17.817829407442623,28.217521705643765
937,[230360],에코마케팅,코스닥시장상장법인,154543565326,7883664091,5.1012567714287576,36.68946189549404,30.47559390285252
